symbol,name,opt-in,opt-out
SZ002465,海格通信,2014-06-16,2018-06-11
SZ002466,天齐锂业,2016-12-12,2020-12-14
SZ002466,天齐锂业,2021-12-10,
SZ002468,申通快递,2017-12-11,2020-12-14
SZ002470,金正大,2014-06-16,2018-12-17
SZ002475,立讯精密,2014-06-16,
SZ002493,荣盛石化,2011-07-01,2013-01-01
SZ002493,荣盛石化,2018-06-11,
SZ002498,汉缆股份,2011-07-01,2012-07-02
SZ002500,山西证券,2011-07-01,2018-12-17
SZ002508,老板电器,2017-06-12,2021-12-10
SZ002555,三七互娱,2017-06-12,2025-06-13
SZ002558,巨人网络,2017-06-12,2021-12-10
SZ002568,百润股份,2016-06-13,2017-06-12
SZ002568,百润股份,2021-12-10,2022-12-09
SZ002570,贝因美,2012-07-02,2015-12-14
SZ002572,索菲亚,2017-12-11,2019-06-17
SZ002594,比亚迪,2012-01-01,
SZ002600,领益智造,2020-12-14,2023-06-09
SZ002600,领益智造,2025-06-13,
SZ002601,龙蟒佰利,2017-12-11,
SZ002602,世纪华通,2017-06-12,2023-06-09
SZ002603,以岭药业,2012-01-01,2015-06-15
SZ002603,以岭药业,2023-12-08,2024-12-13
SZ002607,中公教育,2019-12-16,2022-12-09
SZ002608,江苏国信,2017-12-11,2018-12-17
SZ002624,完美世界,2017-12-11,2022-06-10
SZ002625,光启技术,2018-06-11,2019-12-16
SZ002625,光启技术,2025-12-08,
SZ002648,卫星化学,2022-06-10,
SZ002653,海思科,2013-12-16,2015-12-14
SZ002673,西部证券,2013-01-01,2021-12-10
SZ002709,天赐材料,2021-12-10,
SZ002714,牧原股份,2016-12-12,
SZ002736,国信证券,2015-06-15,
SZ002739,万达电影,2015-12-14,2018-12-17
SZ002739,万达电影,2019-06-17,2021-12-10
SZ002756,永兴材料,2022-12-09,2023-12-08
SZ002773,康弘药业,2018-12-17,2021-12-10
SZ002791,坚朗五金,2021-12-10,2022-12-09
SZ002797,第一创业,2016-12-12,2019-06-17
SZ002812,恩捷股份,2020-12-14,2025-06-13
SZ002821,凯莱英,2020-12-14,2024-12-13
SZ002831,裕同科技,2017-06-12,2018-06-11
SZ002839,张家港行,2017-06-12,2018-06-11
SZ002841,视源股份,2017-06-12,2018-06-11
SZ002841,视源股份,2019-12-16,2024-12-13
SZ002916,深南电路,2019-12-16,
SZ002920,德赛西威,2022-06-10,
SZ002925,盈趣科技,2018-06-11,2019-12-16
SZ002938,鹏鼎控股,2019-06-17,
SZ002939,长城证券,2019-06-17,2021-12-10
SZ002945,华林证券,2019-06-17,2021-12-10
SZ002958,青农商行,2019-12-16,2021-06-11
SZ003816,中国广核,2020-06-15,
SZ300002,神州泰岳,2015-06-15,2017-06-12
SZ300003,乐普医疗,2015-05-24,2016-12-12
SZ300003,乐普医疗,2017-12-11,2022-12-09
SZ300014,亿纬锂能,2020-06-15,
SZ300015,爱尔眼科,2014-12-15,2017-06-12
SZ300015,爱尔眼科,2017-12-11,
SZ300017,网宿科技,2014-12-15,2020-06-15
SZ300024,机器人,2014-12-15,2020-06-15
SZ300027,华谊兄弟,2014-12-15,2018-12-17
SZ300033,同花顺,2016-12-12,
SZ300058,蓝色光标,2014-12-15,2017-06-12
SZ300059,东方财富,2015-06-15,
SZ300070,碧水源,2014-12-15,2020-06-15
SZ300072,三聚环保,2016-12-12,2019-12-16
SZ300085,银之杰,2016-06-13,2017-06-12
SZ300104,乐视网,2015-06-15,2017-12-11
SZ300122,智飞生物,2017-12-11,
SZ300124,汇川技术,2014-12-15,
SZ300133,华策影视,2014-12-15,2017-12-11
SZ300136,信维通信,2017-12-11,2021-12-10
SZ300142,沃森生物,2018-12-17,2024-12-13
SZ300144,宋城演艺,2015-12-14,2022-06-10
SZ300146,汤臣倍健,2014-12-15,2017-06-12
SZ300168,万达信息,2016-06-13,2017-12-11
SZ300182,捷成股份,2016-12-12,2017-06-12
SZ300207,欣旺达,2022-06-10,2023-12-08
SZ300223,北京君正,2022-06-10,2024-12-13
SZ300251,光线传媒,2014-12-15,2019-12-16
SZ300251,光线传媒,2025-12-08,
SZ300274,阳光电源,2021-06-11,
SZ300296,利亚德,2018-12-17,2019-12-16
SZ300308,中际旭创,2023-12-08,
SZ300315,掌趣科技,2015-12-14,2018-06-11
SZ300316,晶盛机电,2021-12-10,
SZ300347,泰格医药,2019-12-16,
SZ300394,天孚通信,2024-12-13,
SZ300408,三环集团,2018-06-11,
SZ300413,芒果超媒,2019-06-17,
SZ300418,昆仑万维,2024-06-14,
SZ300433,蓝思科技,2018-06-11,
SZ300442,润泽科技,2024-06-14,
SZ300450,先导智能,2021-06-11,2025-06-13
SZ300454,深信服,2022-06-10,2024-12-13
SZ300476,胜宏科技,2025-12-08,
SZ300496,中科创达,2022-06-10,2024-12-13
SZ300498,温氏股份,2019-06-17,
SZ300502,新易盛,2024-12-13,
SZ300529,健帆生物,2020-12-14,2023-06-09
SZ300558,贝达药业,2021-06-11,2022-06-10
SZ300595,欧普康视,2021-06-11,2023-06-09
SZ300601,康泰生物,2020-06-15,2023-12-08
SZ300628,亿联网络,2020-06-15,
SZ300661,圣邦股份,2022-06-10,
SZ300676,华大基因,2020-12-14,2022-06-10
SZ300677,英科医疗,2021-06-11,2022-06-10
SZ300750,宁德时代,2021-12-10,
SZ300751,迈为股份,2022-06-10,2024-12-13
SZ300759,康龙化成,2021-12-10,
SZ300760,迈瑞医疗,2021-12-10,
